                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95325,                  4.438,                 1.4276,                0.03026,                0.81647,                0.13918,                0.10067,                    nan,                    nan,                    nan,             0.00010983,             0.00010983,             0.00010983
                      1,                 0.7067,                 3.9252,                 1.2462,                0.36285,                0.34767,                0.27809,                0.18925,                    nan,                    nan,                    nan,             0.00021354,             0.00021354,             0.00021354
                      2,                 0.6867,                 3.5973,                 1.2377,                 0.2653,                0.52905,                0.33486,                0.23168,                    nan,                    nan,                    nan,             0.00030993,             0.00030993,             0.00030993
                      3,                0.66977,                 3.3841,                 1.2096,                0.56863,                0.37003,                0.40881,                0.31341,                    nan,                    nan,                    nan,             0.00030003,             0.00030003,             0.00030003
                      4,                0.65359,                 3.2305,                 1.2098,                0.44663,                0.47337,                0.53229,                0.42496,                    nan,                    nan,                    nan,             0.00030003,             0.00030003,             0.00030003
                      5,                0.64463,                 3.0935,                 1.1955,                0.62857,                0.37169,                0.54435,                 0.3823,                    nan,                    nan,                    nan,             0.00028904,             0.00028904,             0.00028904
                      6,                0.62908,                 3.0034,                  1.186,                0.54157,                0.53781,                0.62029,                0.47833,                    nan,                    nan,                    nan,             0.00027806,             0.00027806,             0.00027806
                      7,                0.61664,                 2.9239,                 1.1751,                0.63938,                0.60617,                0.72777,                0.58737,                    nan,                    nan,                    nan,             0.00026707,             0.00026707,             0.00026707
                      8,                0.60435,                 2.8423,                 1.1676,                0.64159,                0.56393,                0.72193,                0.57557,                    nan,                    nan,                    nan,             0.00025608,             0.00025608,             0.00025608
                      9,                 0.6044,                 2.7942,                  1.171,                0.67219,                0.65838,                0.75249,                0.56702,                    nan,                    nan,                    nan,             0.00024509,             0.00024509,             0.00024509
                     10,                0.56955,                 2.6899,                 1.1458,                 0.6588,                0.67085,                0.80093,                0.62639,                    nan,                    nan,                    nan,              0.0002341,              0.0002341,              0.0002341
                     11,                0.58047,                  2.662,                  1.154,                0.72851,                0.66155,                0.78824,                0.61465,                    nan,                    nan,                    nan,             0.00022311,             0.00022311,             0.00022311
                     12,                0.70297,                 1.9324,                 1.1876,                0.66406,                0.85049,                0.84597,                0.66738,                0.91117,                 1.9576,                 1.3076,             0.00021212,             0.00021212,             0.00021212
                     13,                0.72231,                 1.7348,                 1.1876,                0.72836,                0.77812,                0.84677,                0.68593,                0.87234,                  1.801,                 1.2698,             0.00020113,             0.00020113,             0.00020113
                     14,                0.70848,                  1.616,                 1.1751,                 0.7721,                0.77003,                0.88321,                0.72015,                0.91576,                 1.6442,                 1.2879,             0.00019014,             0.00019014,             0.00019014
                     15,                0.70332,                 1.5266,                 1.1557,                0.82298,                 0.8551,                0.91057,                0.76366,                0.76747,                 1.3941,                  1.179,             0.00017915,             0.00017915,             0.00017915
                     16,                 0.6748,                 1.4441,                 1.1364,                0.81318,                0.83308,                0.92828,                0.77205,                0.80649,                 1.4011,                 1.1955,             0.00016817,             0.00016817,             0.00016817
                     17,                0.68818,                 1.4082,                 1.1486,                0.82658,                0.79865,                0.91417,                0.74148,                0.88976,                 1.4671,                 1.2793,             0.00015718,             0.00015718,             0.00015718
                     18,                0.67546,                 1.3695,                 1.1395,                0.87102,                0.82672,                0.93772,                 0.7702,                 0.8161,                 1.2897,                 1.2174,             0.00014619,             0.00014619,             0.00014619
                     19,                0.68186,                 1.3062,                 1.1477,                0.77004,                0.88716,                0.91966,                0.73198,                0.91872,                 1.2792,                  1.298,              0.0001352,              0.0001352,              0.0001352
                     20,                0.49325,                 1.0763,                 1.0445,                 0.8059,                0.91648,                0.93433,                0.75738,                0.85768,                   1.28,                 1.2619,             0.00012421,             0.00012421,             0.00012421
                     21,                0.47822,                0.96651,                 1.0179,                0.84176,                0.90246,                0.94671,                0.77248,                0.83474,                 1.1485,                 1.2325,             0.00011322,             0.00011322,             0.00011322
                     22,                0.45815,                0.88191,                 1.0104,                0.88429,                0.89126,                0.95651,                0.78444,                0.79474,                 1.0606,                 1.2062,             0.00010223,             0.00010223,             0.00010223
                     23,                0.46117,                0.82431,                  1.002,                0.88057,                0.86448,                0.95232,                0.77574,                 0.8182,                 1.0938,                 1.2098,             9.1242e-05,             9.1242e-05,             9.1242e-05
                     24,                0.45318,                0.78886,                0.99185,                0.91374,                0.88924,                0.95628,                0.78169,                0.82952,                 1.0195,                  1.237,             8.0253e-05,             8.0253e-05,             8.0253e-05
                     25,                0.44145,                0.75048,                0.98969,                0.89058,                0.88447,                 0.9637,                 0.7793,                0.84784,                0.97882,                 1.2398,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     26,                0.42594,                0.72466,                0.97222,                0.90281,                0.89221,                0.96359,                0.78417,                0.82294,                0.97766,                  1.199,             5.8275e-05,             5.8275e-05,             5.8275e-05
                     27,                0.41649,                0.70145,                0.96336,                0.87612,                0.87541,                 0.9525,                0.78608,                0.79771,                0.98772,                 1.1773,             4.7286e-05,             4.7286e-05,             4.7286e-05
                     28,                0.41543,                0.68267,                0.97431,                0.87771,                0.88306,                0.95646,                0.78661,                0.79161,                0.97593,                 1.1766,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     29,                0.41274,                0.66435,                0.96201,                0.89961,                0.89377,                0.96999,                0.81162,                0.75855,                0.89797,                 1.1549,             2.5308e-05,             2.5308e-05,             2.5308e-05
