                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.57215,                0.75968,                 1.0598,                0.92593,                0.84493,                  0.954,                0.74975,                0.91226,                0.71777,                 1.3451,             0.00011041,             0.00011041,             0.00011041
                      1,                0.58283,                0.75681,                 1.0738,                0.86346,                 0.8287,                0.92425,                0.75958,                 0.8011,                0.80149,                 1.2328,             0.00021411,             0.00021411,             0.00021411
                      2,                0.60243,                0.80735,                 1.0876,                0.88832,                0.86204,                0.94182,                0.76882,                0.82851,                0.73847,                 1.2383,             0.00031047,             0.00031047,             0.00031047
                      3,                 0.6103,                0.83588,                 1.0848,                0.89152,                0.84481,                0.92947,                0.78435,                0.68854,                0.74118,                 1.1152,             0.00030003,             0.00030003,             0.00030003
                      4,                0.60261,                0.79866,                 1.0747,                0.85851,                0.86306,                0.93475,                0.75825,                0.82414,                0.74125,                 1.2492,             0.00030003,             0.00030003,             0.00030003
                      5,                0.61029,                0.81032,                 1.0877,                0.89221,                0.84843,                0.93281,                0.77103,                 0.8332,                0.74361,                 1.2675,             0.00028904,             0.00028904,             0.00028904
                      6,                0.62771,                0.84868,                 1.0953,                0.89102,                0.85982,                0.93395,                0.75485,                0.85192,                0.71847,                 1.2657,             0.00027806,             0.00027806,             0.00027806
                      7,                0.61567,                 0.8112,                 1.0942,                0.91271,                0.85473,                 0.9549,                0.75068,                 0.9666,                0.74475,                 1.4018,             0.00026707,             0.00026707,             0.00026707
                      8,                 0.6097,                0.78898,                   1.09,                0.91477,                0.89501,                0.94328,                0.80244,                0.72223,                0.65777,                 1.1473,             0.00025608,             0.00025608,             0.00025608
                      9,                0.60579,                0.76663,                 1.0829,                0.90632,                0.84944,                0.94658,                0.74246,                0.93228,                0.74128,                   1.36,             0.00024509,             0.00024509,             0.00024509
                     10,                0.61297,                 0.7525,                 1.0894,                 0.8919,                0.90741,                0.95419,                0.74541,                0.94973,                0.66844,                 1.3746,              0.0002341,              0.0002341,              0.0002341
                     11,                0.59141,                0.72165,                 1.0863,                0.90465,                0.84646,                0.94152,                0.74987,                0.87299,                0.67544,                 1.2969,             0.00022311,             0.00022311,             0.00022311
                     12,                0.58383,                0.73512,                 1.0765,                0.92749,                0.82517,                0.93468,                0.77364,                0.81158,                0.68623,                 1.2128,             0.00021212,             0.00021212,             0.00021212
                     13,                0.58034,                0.70619,                  1.069,                0.91719,                0.82646,                0.93846,                0.77647,                0.76347,                0.65719,                 1.2078,             0.00020113,             0.00020113,             0.00020113
                     14,                0.59006,                0.68865,                 1.0751,                 0.9453,                0.84714,                0.94413,                0.77882,                0.78445,                0.63922,                 1.2159,             0.00019014,             0.00019014,             0.00019014
                     15,                0.59198,                0.68995,                 1.0734,                0.91216,                0.88406,                0.96316,                0.76338,                0.90804,                0.62384,                 1.3222,             0.00017915,             0.00017915,             0.00017915
                     16,                0.56716,                0.66314,                 1.0601,                0.90505,                0.86458,                0.94649,                0.74946,                0.93033,                0.71399,                 1.3538,             0.00016817,             0.00016817,             0.00016817
                     17,                0.57315,                0.65115,                  1.059,                0.90075,                0.86704,                0.94352,                0.78062,                0.78322,                0.66605,                  1.223,             0.00015718,             0.00015718,             0.00015718
                     18,                0.55967,                0.63293,                 1.0527,                0.91811,                0.85455,                0.95223,                0.74335,                 0.9562,                0.68076,                 1.3835,             0.00014619,             0.00014619,             0.00014619
                     19,                0.55833,                0.61486,                 1.0527,                0.87207,                0.84262,                0.93887,                0.77045,                0.82441,                0.68313,                 1.2556,              0.0001352,              0.0001352,              0.0001352
                     20,                0.39431,                0.34265,                0.96037,                 0.9073,                 0.8641,                0.95642,                0.81835,                0.68419,                0.59055,                 1.1365,             0.00012421,             0.00012421,             0.00012421
                     21,                0.38996,                0.32762,                0.94775,                0.85582,                0.89485,                0.94824,                0.78561,                0.79329,                0.62418,                 1.2289,             0.00011322,             0.00011322,             0.00011322
                     22,                0.38337,                0.31392,                0.94774,                0.90784,                0.85518,                0.95373,                0.79268,                0.80076,                 0.6234,                 1.2515,             0.00010223,             0.00010223,             0.00010223
                     23,                0.37327,                0.30191,                 0.9392,                0.91129,                0.87262,                0.95169,                0.77699,                 0.8356,                0.63533,                 1.2984,             9.1242e-05,             9.1242e-05,             9.1242e-05
                     24,                0.37725,                0.29602,                0.94197,                0.93335,                0.84086,                0.94839,                0.78305,                0.77948,                0.58226,                 1.2331,             8.0253e-05,             8.0253e-05,             8.0253e-05
                     25,                0.36489,                0.28787,                0.93456,                 0.9351,                0.82736,                0.94936,                0.78996,                0.75622,                0.62929,                 1.2241,             6.9264e-05,             6.9264e-05,             6.9264e-05
                     26,                0.36005,                0.28425,                 0.9297,                0.93641,                0.85232,                0.95845,                 0.7814,                0.84667,                0.59355,                 1.3089,             5.8275e-05,             5.8275e-05,             5.8275e-05
                     27,                0.35628,                0.27525,                0.92191,                 0.9332,                0.85278,                0.95818,                0.79683,                0.78339,                0.59567,                 1.2426,             4.7286e-05,             4.7286e-05,             4.7286e-05
                     28,                0.34837,                0.26908,                0.91475,                0.93502,                0.84498,                0.95861,                0.79227,                0.78021,                0.58138,                 1.2361,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     29,                0.34713,                0.26888,                  0.917,                 0.9399,                0.83681,                 0.9528,                0.80257,                0.75272,                 0.5792,                 1.2011,             2.5308e-05,             2.5308e-05,             2.5308e-05
